Ticker,Name,Sector,Price,Market_Cap_B,PE,PBV,PS,EV_EBITDA,ROE,ROA,Net_Margin,Gross_Margin,DE_Ratio,Current_Ratio,Div_Yield,Avg_Volume_M
AOT,AOT_AIRPORTS OF THAILAND,Industrials,48.75,696.43,39.634144,5.1391525,10.572486,23.003,13.23,7.11,26.47,67.43,32.854,1.788,1.66,37.8
PTT,PTT_PTT,Energy,34.0,963.03,10.793651,0.85418546,0.36174867,6.748,7.12,2.81,3.39,9.8,59.656,1.6,6.18,94.35
CPALL,CPALL_CP ALL,Consumer Defensive,45.5,405.66,14.67742,3.163017,0.39708316,13.271,9.79,3.43,2.76,25.06,133.418,0.609,3.63,41.62
SCB,SCB_SCB X,Financial Services,145.5,489.91,10.319149,0.9891029,3.7652633,,9.68,1.35,36.5,0.0,,,7.75,14.34
KBANK,KBANK_KASIKORNBANK,Financial Services,189.5,448.99,9.181202,0.77258956,2.9062877,,8.45,1.25,32.08,0.0,,,6.33,17.96
BBL,BBL_BANGKOK BANK,Financial Services,166.0,316.87,6.8879666,0.5521095,2.2259672,,8.19,1.01,32.32,0.0,,,9.94,13.14
KTB,KTB_KRUNG THAI BANK,Financial Services,34.5,482.17,10.0,1.0387186,3.7128186,,11.02,1.36,37.14,0.0,,,10.48,59.76
SCC,SCC_THE SIAM CEMENT,Industrials,185.0,222.0,15.771526,0.6573827,0.44674712,19.422,2.59,0.01,2.83,13.13,83.838,1.007,2.7,4.68
GULF,GULF_GULF DEVELOPMENT,Utilities,56.75,847.84,33.187134,2.5258145,6.5385447,43.062,35.04,2.22,69.24,20.02,99.499,1.03,1.85,50.75
ADVANC,ADVANC_ADVANCED INFO SERVICE,Communication Services,380.0,1130.2,23.587833,10.545303,4.995053,12.781,46.81,9.35,21.16,39.69,179.229,0.516,4.43,7.36
INTUCH,N/A,N/A,,0.0,,,,,,,,,,,,0.0
TRUE,TRUE_TRUE CORPORATION,Communication Services,14.1,487.18,52.22222,6.4530897,2.4898455,10.529,12.2,3.4,4.72,33.53,577.067,0.422,2.2,246.12
BH,BH_BUMRUNGRAD HOSPITAL,Healthcare,162.0,128.78,18.663593,4.1728916,5.0605,11.491,25.65,16.45,29.52,52.25,0.342,4.597,3.09,6.31
BDMS,BDMS_BANGKOK DUSIT MEDICAL,Healthcare,18.9,300.36,18.9,2.83656,2.6531973,11.852,15.3,8.14,14.0,37.05,15.896,0.978,4.23,81.83
CPN,CPN_CENTRAL PATTANA,Real Estate,63.25,283.87,15.059525,2.5834253,5.244834,12.843,16.74,5.29,34.81,61.13,97.834,0.75,3.79,8.47
LH,LH_LAND AND HOUSES,Real Estate,3.8,45.41,12.258064,0.87517273,2.0825653,47.531,7.1,0.86,17.04,28.66,151.037,1.95,6.32,40.65
MINT,MINT_MINOR INTERNATIONAL,Consumer Cyclical,21.5,121.9,16.666668,2.0896103,0.73960537,11.193,10.03,3.42,5.47,45.04,191.425,0.608,3.26,26.02
TOP,TOP_THAI OIL,Energy,45.75,102.2,7.0061255,0.5943411,0.30880803,11.53,8.15,1.52,4.41,4.13,69.274,1.442,4.37,17.47
IRPC,IRPC_IRPC,Energy,1.77,36.13,,0.54832715,0.12903553,12.575,-5.29,-1.01,-1.28,1.23,103.442,1.137,56.0,89.2
PTTEP,PTTEP_PTT EXPLORATION AND,Energy,154.0,611.38,10.144927,1.1335471,71.404366,109.624,11.36,6.51,21.38,77.89,24.4,1.369,5.68,19.12
